Hydrophobicity,Polarity,Class
0,0,class
68,91,DNA
1,15,DNA
-45,32,DNA
-70,1,DNA
-76,7,DNA
45,52,DNA
13,5,DNA
23,1,DNA
16,-25,DNA
4,-2,DNA
0,12,DNA
-11,15,DNA
-6,7,DNA
-35,44,DNA
28,57,DNA
10,41,DNA
7,-1,DNA
-63,4,DNA
-7,-3,DNA
-8,20,DNA
-6,20,DNA
0,5,DNA
-10,0,DNA
0,7,DNA
77,-4,DNA
13,-2,DNA
-17,4,DNA
-1,9,DNA
3,7,DNA
12,5,DNA
-26,20,DNA
-49,17,DNA
-73,34,DNA
4,2,DNA
-33,13,DNA
2,-2,DNA
-7,-2,DNA
54,42,DNA
-31,12,DNA
-17,-1,DNA
46,19,DNA
12,24,DNA
0,22,DNA
2,22,DNA
2,22,DNA
3,20,DNA
0,23,DNA
-3,27,DNA
10,10,DNA
-30,-3,DNA
-30,12,DNA
-4,0,DNA
20,-9,DNA
5,19,DNA
0,1,DNA
-81,-7,DNA
0,6,DNA
-45,5,DNA
105,12,DNA
-13,11,DNA
-24,16,DNA
24,12,DNA
24,11,DNA
-12,-2,DNA
-50,-1,DNA
-9,3,DNA
43,11,DNA
-14,9,DNA
186,65,DNA
2,4,DNA
-21,15,DNA
-1,10,DNA
-9,-9,DNA
-38,16,DNA
-81,11,DNA
-245,49,DNA
-8,10,DNA
-33,6,DNA
3,3,DNA
-53,17,DNA
-34,13,DNA
-5,6,DNA
-30,17,DNA
40,11,DNA
50,19,DNA
-30,5,DNA
22,23,DNA
10,-2,DNA
-25,-4,DNA
269,37,DNA
10,8,DNA
4,7,DNA
30,0,DNA
1,8,DNA
-11,10,DNA
21,1,DNA
-11,0,DNA
85,25,DNA
60,32,DNA
-153,-7,DNA
58,2,DNA
-18,11,DNA
-8,4,DNA
-9,4,DNA
0,4,DNA
-10,-9,DNA
-22,-2,DNA
17,17,DNA
-5,4,DNA
-32,8,DNA
7,2,DNA
50,15,DNA
-50,14,DNA
-38,20,DNA
74,67,DNA
-16,16,DNA
-17,9,DNA
0,6,DNA
-29,4,DNA
-80,14,DNA
-92,9,DNA
3,2,DNA
-73,-5,DNA
15,27,DNA
50,-14,DNA
7,5,DNA
-8,5,DNA
8,20,DNA
-81,3,DNA
-1,49,DNA
10,20,DNA
-1,3,DNA
4,3,DNA
-31,25,DNA
-21,24,DNA
-86,37,DNA
-6,16,DNA
-70,14,DNA
-59,48,DNA
21,16,DNA
-9,1,DNA
133,0,DNA
-26,8,DNA
74,26,DNA
49,-2,DNA
-5,5,DNA
-11,8,DNA
-1,15,DNA
-10,2,DNA
-74,46,DNA
-71,16,DNA
17,9,DNA
6,23,DNA
48,13,DNA
-25,3,DNA
-38,10,DNA
72,27,DNA
-68,14,DNA
-68,26,DNA
-20,19,DNA
-8,11,DNA
-11,8,DNA
1,2,DNA
-41,0,DNA
-31,2,DNA
-65,16,DNA
-63,22,DNA
-61,15,DNA
-12,3,DNA
-317,-20,DNA
-10,17,DNA
-37,7,DNA
12,13,DNA
-34,17,DNA
-62,11,DNA
-28,10,DNA
-7,10,DNA
4,-7,DNA
-4,-3,DNA
-24,1,DNA
43,17,DNA
1,4,DNA
-49,17,DNA
-9,11,DNA
13,2,DNA
4,12,DNA
20,5,DNA
5,3,DNA
27,19,DNA
70,-24,DNA
-48,20,DNA
1,5,DNA
-58,16,DNA
-28,4,DNA
2,0,DNA
-2,30,DNA
4,15,DNA
30,-1,DNA
-3,8,DNA
5,16,DNA
-20,2,DNA
25,11,DNA
7,-5,DNA
-97,9,DNA
-80,6,DNA
-7,16,DNA
-18,-17,DNA
4,12,DNA
13,9,DNA
-34,10,DNA
-8,6,DNA
-16,7,DNA
-2,1,DNA
68,2,DNA
-26,10,DNA
-6,1,DNA
0,-13,DNA
-3,9,DNA
-98,-1,DNA
0,12,DNA
-75,26,DNA
-5,5,DNA
32,10,DNA
-34,-1,DNA
-1,6,DNA
7,1,DNA
-2,4,DNA
1,0,DNA
-14,16,DNA
-2,4,DNA
23,14,DNA
11,7,DNA
-12,3,DNA
-59,59,DNA
37,21,DNA
-47,20,DNA
-19,21,DNA
-35,19,DNA
-73,9,DNA
-146,3,DNA
10,21,DNA
14,21,DNA
14,21,DNA
16,21,DNA
19,21,DNA
-43,1,DNA
3,-8,DNA
31,7,DNA
7,11,DNA
53,-4,DNA
-57,31,DNA
15,22,DNA
23,33,DNA
15,14,DNA
-7,40,DNA
-12,14,DNA
-75,38,DNA
-77,27,DNA
-20,-11,DNA
29,7,DNA
-11,-10,DNA
8,0,DNA
5,-2,DNA
54,56,DNA
3,20,DNA
-3,9,DNA
16,13,DNA
10,5,DNA
9,7,DNA
-29,20,DNA
-39,-2,DNA
-35,18,DNA
14,-4,DNA
-28,4,DNA
5,8,DNA
-53,22,DNA
-52,-4,DNA
-38,12,DNA
-4,4,DNA
-81,7,DNA
8,5,DNA
-33,27,DNA
-3,-5,DNA
17,8,DNA
4,2,DNA
-135,9,DNA
21,17,DNA
-3,7,DNA
45,20,DNA
4,16,DNA
9,23,DNA
-281,20,DNA
-54,9,DNA
54,2,DNA
41,23,DNA
-28,3,DNA
35,-6,DNA
39,70,DNA
8,13,DNA
2,33,DNA
12,15,DNA
-14,16,DNA
-14,16,DNA
56,21,DNA
-9,20,DNA
-13,20,DNA
-10,21,DNA
-10,18,DNA
0,21,DNA
154,21,DNA
-18,-2,DNA
21,6,DNA
22,20,DNA
-11,7,DNA
35,9,DNA
-12,3,DNA
0,10,DNA
16,8,DNA
61,25,DNA
-19,13,DNA
-24,42,DNA
-32,12,DNA
-24,-2,DNA
-2,6,DNA
74,-31,DNA
-23,4,DNA
3,-5,DNA
-17,17,DNA
47,19,DNA
8,29,DNA
92,90,DNA
-77,13,DNA
-68,10,DNA
-159,10,DNA
21,10,DNA
19,16,DNA
-18,5,DNA
78,6,DNA
-25,13,DNA
-23,32,DNA
-30,31,DNA
-3,-12,DNA
49,31,DNA
39,2,DNA
-22,5,DNA
42,3,DNA
-30,14,DNA
-35,6,DNA
-27,11,DNA
-1,20,DNA
4,7,DNA
19,-5,DNA
-4,9,DNA
-25,3,DNA
-3,15,DNA
-48,-5,DNA
-17,22,DNA
-77,4,DNA
3,10,DNA
-4,8,DNA
11,21,DNA
21,16,DNA
19,57,DNA
-9,0,DNA
-13,25,DNA
-73,8,DNA
-1,3,DNA
-22,6,DNA
46,48,DNA
6,8,DNA
35,18,DNA
-18,-5,DNA
-21,3,DNA
-21,7,DNA
-7,0,DNA
8,6,DNA
-12,10,DNA
21,9,DNA
13,1,DNA
65,-9,DNA
-38,18,DNA
13,8,DNA
-28,25,DNA
24,29,DNA
29,17,DNA
-18,4,DNA
-21,-1,DNA
-19,24,DNA
-67,13,DNA
-49,25,DNA
53,14,DNA
4,12,DNA
-39,1,DNA
-1,-2,DNA
-23,24,DNA
-2,14,DNA
-107,26,DNA
1,4,DNA
17,10,DNA
-84,2,DNA
5,0,DNA
6,12,DNA
-5,-1,DNA
-90,19,DNA
-8,13,DNA
-33,10,DNA
-40,11,DNA
42,28,DNA
-25,7,DNA
-19,14,DNA
-11,10,DNA
-16,13,DNA
8,18,DNA
10,5,DNA
-26,-5,DNA
7,11,DNA
-41,6,DNA
24,26,DNA
21,17,DNA
-7,1,DNA
-30,14,DNA
-45,15,DNA
-12,3,DNA
-22,6,DNA
-8,20,DNA
5,7,DNA
-14,29,DNA
-13,21,DNA
-4,19,DNA
19,16,DNA
-30,1,DNA
-10,15,DNA
-6,-1,DNA
-21,6,DNA
-38,-2,DNA
-20,11,DNA
-38,-2,DNA
12,12,DNA
13,21,DNA
2,5,DNA
-2,4,DNA
17,10,DNA
21,14,DNA
-38,12,DNA
-10,20,DNA
-33,-12,DNA
-102,21,DNA
17,7,DNA
8,6,DNA
-17,17,DNA
-9,2,DNA
-32,1,DNA
-2,9,DNA
-79,8,DNA
-9,18,DNA
-3,-5,DNA
-53,17,DNA
21,11,DNA
2,10,DNA
-25,1,DNA
0,22,DNA
3,8,DNA
-2,4,DNA
-18,9,DNA
13,16,DNA
1,4,DNA
-22,5,DNA
-12,10,DNA
8,17,DNA
-4,12,DNA
37,22,DNA
19,2,DNA
0,13,DNA
-9,9,DNA
-82,6,DNA
-33,13,DNA
-16,5,DNA
-5,9,DNA
-2,9,DNA
9,5,DNA
20,-10,DNA
3,12,DNA
30,12,DNA
8,0,DNA
16,16,DNA
-77,0,DNA
19,15,DNA
-7,27,DNA
-25,-1,DNA
0,3,DNA
8,21,DNA
-12,3,DNA
0,5,DNA
-37,32,DNA
18,3,DNA
14,8,DNA
-53,4,DNA
-35,18,DNA
10,9,DNA
-18,12,DNA
-17,-1,DNA
-1,8,DNA
-7,3,DNA
-10,7,DNA
16,22,DNA
14,13,DNA
-17,5,DNA
1,21,DNA
-37,7,DNA
-27,11,DNA
-15,13,DNA
1,-1,DNA
-16,25,DNA
-4,3,DNA
-7,10,DNA
-64,8,DNA
3,7,DNA
8,6,DNA
15,3,DNA
-29,8,DNA
-8,5,DNA
-19,8,DNA
-49,1,DNA
5,6,DNA
-52,-6,DNA
-26,1,DNA
-12,10,DNA
10,11,DNA
25,4,DNA
2,8,DNA
4,1,DNA
4,15,DNA
-63,12,DNA
14,12,DNA
-2,1,DNA
8,0,DNA
-5,14,DNA
9,11,DNA
6,7,DNA
15,14,DNA
-6,6,DNA
6,9,DNA
3,17,DNA
15,3,DNA
-80,18,DNA
-53,19,DNA
-32,14,DNA
-23,9,DNA
12,17,DNA
-17,18,DNA
14,20,DNA
6,7,DNA
-2,8,DNA
-4,-3,DNA
-8,14,DNA
6,1,DNA
6,14,DNA
6,15,DNA
1,7,DNA
-11,8,DNA
-2,9,DNA
9,12,DNA
3,8,DNA
20,13,DNA
19,6,DNA
-3,3,DNA
4,3,DNA
-20,-3,DNA
-25,4,DNA
-40,-4,DNA
-6,15,DNA
-24,5,DNA
-20,9,DNA
-72,10,DNA
-8,9,DNA
-79,16,DNA
1,12,DNA
2,12,DNA
-1,1,DNA
12,18,DNA
0,16,DNA
8,17,DNA
7,5,DNA
7,4,DNA
-11,-3,DNA
32,18,DNA
17,10,DNA
-9,11,DNA
-4,17,DNA
17,11,DNA
2,4,DNA
-36,16,DNA
-12,18,DNA
-5,3,DNA
3,6,DNA
-21,15,DNA
-6,6,DNA
19,13,DNA
-4,1,DNA
4,5,DNA
-2,2,DNA
-10,8,DNA
9,4,DNA
-5,7,DNA
-11,5,DNA
19,12,DNA
3,20,DNA
-36,21,DNA
22,10,DNA
-29,6,DNA
-15,5,DNA
-3,14,DNA
58,38,DNA
26,13,DNA
31,6,DNA
7,10,DNA
-41,9,DNA
-8,4,DNA
9,-12,DNA
-8,11,DNA
18,10,DNA
17,9,DNA
-3,7,DNA
3,13,DNA
-32,9,DNA
-11,6,DNA
6,12,DNA
-9,6,DNA
4,7,DNA
9,11,DNA
-30,3,DNA
-7,11,DNA
15,4,DNA
15,6,DNA
1,9,DNA
7,16,DNA
25,22,DNA
-3,8,DNA
-1,14,DNA
-33,8,DNA
7,8,DNA
-5,2,DNA
-65,9,DNA
7,22,DNA
-6,25,DNA
-45,3,DNA
-3,27,DNA
-6,3,DNA
-3,0,DNA
