L,K,P,G,Z,S,E,X,R,I,V,A,W,F,Y,M,C,T,N,U,D,H,Q,ID,Label,IsDNA,IsRNA
34,25,17,54,0,36,37,0,69,3,30,0,7,18,19,0,37,41,4,0,6,40,29,0,DNA,IsDNA,NotRNA
30,19,69,34,0,90,20,0,22,16,14,41,1,26,15,12,8,46,16,0,17,11,26,1,DNA,IsDNA,NotRNA
27,16,27,57,0,27,25,0,19,4,12,41,1,12,7,6,5,7,5,0,10,32,13,2,DNA,IsDNA,NotRNA
37,15,42,49,0,28,36,0,23,16,34,31,9,5,4,4,6,23,10,0,7,6,19,3,DNA,IsDNA,NotRNA
53,14,35,30,0,25,22,0,31,25,14,62,18,18,14,7,4,17,14,0,27,11,43,4,DNA,IsDNA,NotRNA
26,34,25,24,0,43,26,0,40,9,23,21,3,21,10,6,20,26,18,0,10,14,22,5,DNA,IsDNA,NotRNA
43,33,51,43,0,75,54,0,38,21,47,43,12,30,8,17,11,34,26,0,30,18,31,6,DNA,IsDNA,NotRNA
36,26,22,29,0,41,32,0,25,9,14,22,9,15,14,8,6,20,13,0,26,8,16,7,DNA,IsDNA,NotRNA
44,34,18,25,0,20,50,0,33,20,28,62,4,7,9,7,1,29,5,0,45,3,22,8,DNA,IsDNA,NotRNA
8,9,2,5,0,4,11,0,3,5,3,3,3,2,1,2,0,2,4,0,4,1,0,9,DNA,IsDNA,NotRNA
50,38,43,49,0,67,32,0,35,36,29,33,4,21,15,19,14,37,23,0,46,17,18,10,DNA,IsDNA,NotRNA
84,24,51,33,0,78,38,0,61,29,36,88,19,25,18,16,17,44,37,0,57,25,41,11,DNA,IsDNA,NotRNA
16,7,3,10,0,5,13,0,16,9,9,14,5,6,2,2,5,10,2,0,10,7,5,12,DNA,IsDNA,NotRNA
41,41,64,49,0,36,35,0,62,9,29,52,8,16,8,5,39,32,6,0,32,8,33,13,DNA,IsDNA,NotRNA
6,58,16,8,0,21,6,0,7,6,12,30,0,1,3,2,0,6,3,0,4,2,5,14,DNA,IsDNA,NotRNA
