,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,TYPE
0,0,0,37,6,37,18,54,40,3,0,25,34,0,4,0,17,29,69,36,41,0,30,7,0,19,0,DNA
1,41,0,8,17,20,26,34,11,16,0,19,30,12,16,0,69,26,22,90,46,0,14,1,0,15,0,DNA
2,41,0,5,10,25,12,57,32,4,0,16,27,6,5,0,27,13,19,27,7,0,12,1,0,7,0,DNA
3,31,0,6,7,36,5,49,6,16,0,15,37,4,10,0,42,19,23,28,23,0,34,9,0,4,0,DNA
4,62,0,4,27,22,18,30,11,25,0,14,53,7,14,0,35,43,31,25,17,0,14,18,0,14,0,DNA
5,21,0,20,10,26,21,24,14,9,0,34,26,6,18,0,25,22,40,43,26,0,23,3,0,10,0,DNA
6,43,0,11,30,54,30,43,18,21,0,33,43,17,26,0,51,31,38,75,34,0,47,12,0,8,0,DNA
7,22,0,6,26,32,15,29,8,9,0,26,36,8,13,0,22,16,25,41,20,0,14,9,0,14,0,DNA
8,62,0,1,45,50,7,25,3,20,0,34,44,7,5,0,18,22,33,20,29,0,28,4,0,9,0,DNA
9,3,0,0,4,11,2,5,1,5,0,9,8,2,4,0,2,0,3,4,2,0,3,3,0,1,0,DNA
10,33,0,14,46,32,21,49,17,36,0,38,50,19,23,0,43,18,35,67,37,0,29,4,0,15,0,DNA
11,88,0,17,57,38,25,33,25,29,0,24,84,16,37,0,51,41,61,78,44,0,36,19,0,18,0,DNA
12,14,0,5,10,13,6,10,7,9,0,7,16,2,2,0,3,5,16,5,10,0,9,5,0,2,0,DNA
13,52,0,39,32,35,16,49,8,9,0,41,41,5,6,0,64,33,62,36,32,0,29,8,0,8,0,DNA
14,30,0,0,4,6,1,8,2,6,0,58,6,2,3,0,16,5,7,21,6,0,12,0,0,3,0,DNA
15,67,0,14,62,75,30,71,19,48,0,126,90,25,36,0,44,34,33,85,42,0,68,13,0,32,0,DNA
